CASE_REFERENCE,X_COORD,Y_COORD,ADDRESS,COUNCIL,NEIGHBORHOOD,PRECINCT,NSA
101000061595,11791877.569264,3731091.864968,10 Overbrook Road,6,Northern Barton Heights,4,North-5
101000070302,11791877.569264,3731091.864968,10 Overbrook Road,6,Northern Barton Heights,4,North-5
101000112179,11791876.000042,3730737.181622,10 W Graham Road,6,Northern Barton Heights,4,North-5
101000026251,11791898.499997,3731434.203522,10 W Lancaster Road,6,Northern Barton Heights,4,North-5
101000106532,11791898.499997,3731434.203522,10 W Lancaster Road,6,Northern Barton Heights,4,North-5
101000098953,11791898.499997,3731434.203522,10 W Lancaster Road,6,Northern Barton Heights,4,North-5
101000026252,11791898.499997,3731434.203522,10 W Lancaster Road,6,Northern Barton Heights,4,North-5
101000036666,11791898.4992668,3731434.20312763,10 W Lancaster Road,6,Northern Barton Heights,4,North-5
101000089615,11791898.499997,3731434.203522,10 W Lancaster Road,6,Northern Barton Heights,4,North-5
101000033786,11791510.480432,3731140.071564,100 Overbrook Road,6,Northern Barton Heights,4,North-5
101000075622,11791510.480432,3731140.071564,100 Overbrook Road,6,Northern Barton Heights,4,North-5
101000075758,11791510.480432,3731140.071564,100 Overbrook Road,6,Northern Barton Heights,4,North-5
101000078291,11791510.480432,3731140.071564,100 Overbrook Road,6,Northern Barton Heights,4,North-5
101000078297,11791510.4797358,3731140.07094497,100 Overbrook Road,6,Northern Barton Heights,4,North-5
101000078299,11791510.4797358,3731140.07094497,100 Overbrook Road,6,Northern Barton Heights,4,North-5
101000109707,11791510.480432,3731140.071564,100 Overbrook Road,6,Northern Barton Heights,4,North-5
225696-101000078048,11791516.5214446,3731149.62043073,100 Overbrook Road,6,Northern Barton Heights,4,North-5
101000016779,11791774.354248,3730743.002148,100 W Graham Road,6,Northern Barton Heights,4,North-5
101000109381,11791759.430393,3730449.497814,100 Wickham St,6,Northern Barton Heights,4,North-5
101000118742,11791759.430393,3730449.497814,100 Wickham St,6,Northern Barton Heights,4,North-5
101000094198,11792685.958396,3733316.150873,101 E Brookland Park Blvd,3,Northern Barton Heights,4,North-4
101000025642,11792685.958396,3733316.150873,101 E Brookland Park Blvd,3,Northern Barton Heights,4,North-4
101000092714,11792685.958396,3733316.150873,101 E Brookland Park Blvd,3,Northern Barton Heights,4,North-4
101000033474,11792685.958396,3733316.150873,101 E Brookland Park Blvd,3,Northern Barton Heights,4,North-4
234417-101000085549,11792685.958396,3733316.150873,101 E Brookland Park Blvd,3,Northern Barton Heights,4,North-4
101000117003,11792685.958396,3733316.150873,101 E Brookland Park Blvd,3,Northern Barton Heights,4,North-4
274092-101000114210,11792738.030912,3733322.46206057,101 E Brookland Park Blvd,3,Northern Barton Heights,4,North-4
218534-101000071933,11791495.8656161,3730984.14098514,101 Overbrook Road,3,Northern Barton Heights,4,North-3
101000108229,11791496.284922,3730989.665369,101 Overbrook Road,3,Northern Barton Heights,4,North-3
101000088156,11791845.5000148,3733356.72547383,101 W Brookland Park Blvd,3,Northern Barton Heights,4,North-4
101000075225,11791604.784705,3731338.940261,101 W Lancaster Road,6,Northern Barton Heights,4,North-5
226545-101000080204,11791458.9788468,3731142.38053866,102 Overbrook Road,6,Northern Barton Heights,4,North-5
101000057037,11791721.354354,3730747.477861,102 W Graham Road,6,Northern Barton Heights,4,North-5
101000042301,11791573.569544,3731461.818296,102 W Lancaster Road,6,Northern Barton Heights,4,North-5
270938-101000112409,11791573.569544,3731461.818296,102 W Lancaster Road,6,Northern Barton Heights,4,North-5
195392-101000053722,11791388.2645868,3730994.79858709,105 Overbrook Road,3,Northern Barton Heights,4,North-3
195393-101000053723,11791388.2645868,3730994.79858709,105 Overbrook Road,3,Northern Barton Heights,4,North-3
199552-101000057258,11791388.2645868,3730994.79858709,105 Overbrook Road,3,Northern Barton Heights,4,North-3
279705-101000117717,11791388.6968616,3730995.02194434,105 Overbrook Road,3,Northern Barton Heights,4,North-3
101000019096,11791580.423861,3730645.645716,105 W Graham Road,6,Northern Barton Heights,4,North-5
210323-101000066029,11791654.8210994,3731678.12699847,105 W Norwood Ave,6,Northern Barton Heights,4,North-5
101000045055,11791646.999844,3730646.825831,103 W Graham Road,6,Northern Barton Heights,4,North-5
227509-101000080425,11791685.8342458,3731670.53873661,103 W Norwood Ave,6,Northern Barton Heights,4,North-5
101000028122,11791687.215314,3731683.822445,103 W Norwood Ave,6,Northern Barton Heights,4,North-5
101000036710,11791409.284267,3731128.2113101,104 Overbrook Road,6,Northern Barton Heights,4,North-5
101000100749,11791410.499989,3731476.58303,108 W Lancaster Road,6,Northern Barton Heights,4,North-5
254864-101000103376,11791410.3138128,3731486.63545728,108 W Lancaster Road,6,Northern Barton Heights,4,North-5
278542-101000116831,11791310.6438661,3731004.70210018,109 Overbrook Road,3,Northern Barton Heights,4,North-3
101000071194,11791356.639204,3731133.378664,106 Overbrook Road,6,Northern Barton Heights,4,North-5
101000033949,11791633.430317,3730757.832171,106 W Graham Road,6,Northern Barton Heights,4,North-5
101000007514,11791457.499895,3731472.758891,106 W Lancaster Road,6,Northern Barton Heights,4,North-5
101000044928,11791457.499895,3731472.758891,106 W Lancaster Road,6,Northern Barton Heights,4,North-5
101000044930,11791457.499895,3731472.758891,106 W Lancaster Road,6,Northern Barton Heights,4,North-5
101000070134,11791457.499895,3731472.758891,106 W Lancaster Road,6,Northern Barton Heights,4,North-5
195395-101000053725,11791340.4656316,3731005.1474947,107 Overbrook Road,3,Northern Barton Heights,4,North-3
101000053338,11791455.430673,3731357.776509,107 W Lancaster Road,6,Northern Barton Heights,4,North-5
101000093971,11791307.139303,3731137.352081,108 Overbrook Road,6,Northern Barton Heights,4,North-5
226961-101000079204,11791305.9359299,3731149.79500243,108 Overbrook Road,6,Northern Barton Heights,4,North-5
232438-101000083846,11791305.9359299,3731149.79500243,108 Overbrook Road,6,Northern Barton Heights,4,North-5
101000035721,11791759.122651,3733365.866653,109 W Brookland Park Blvd,3,Northern Barton Heights,4,North-4
101000005228,11791398.715235,3731352.375601,109 W Lancaster Road,6,Northern Barton Heights,4,North-5
101000053344,11791398.715235,3731352.375601,109 W Lancaster Road,6,Northern Barton Heights,4,North-5
101000077752,11791398.7149417,3731352.37554056,109 W Lancaster Road,6,Northern Barton Heights,4,North-5
101000030236,11791844.714999,3731318.750669,11 W Lancaster Road,6,Northern Barton Heights,4,North-5
199247-101000057003,11791837.5420438,3731647.63541756,11 W Norwood Ave,6,Northern Barton Heights,4,North-5
101000042519,11791840.089353,3731659.33693,11 W Norwood Ave,6,Northern Barton Heights,4,North-5
101000057368,11791840.089353,3731659.33693,11 W Norwood Ave,6,Northern Barton Heights,4,North-5
101000063297,11791840.089353,3731659.33693,11 W Norwood Ave,6,Northern Barton Heights,4,North-5
101000079728,11791840.089353,3731659.33693,11 W Norwood Ave,6,Northern Barton Heights,4,North-5
101000017994,11792682.500069,3731830.023268,110 E Norwood Ave,6,Northern Barton Heights,4,North-4
237556-101000088843,11791261.6038441,3731179.19119998,110 Overbrook Road,6,Northern Barton Heights,4,North-5
101000027405,11791363.499755,3731480.459663,110 W Lancaster Road,6,Northern Barton Heights,4,North-5
197122-101000054968,11791357.3607652,3731494.01309934,110 W Lancaster Road,6,Northern Barton Heights,4,North-5
217126-101000070873,11791357.3607652,3731494.01309934,110 W Lancaster Road,6,Northern Barton Heights,4,North-5
233611-101000084923,11791357.3607652,3731494.01309934,110 W Lancaster Road,6,Northern Barton Heights,4,North-5
244998-101000095622,11791357.3607652,3731494.01309934,110 W Lancaster Road,6,Northern Barton Heights,4,North-5
101000043209,11791248.861204,3731013.595767,111 Overbrook Road,3,Northern Barton Heights,4,North-3
101000104536,11791248.861204,3731013.595767,111 Overbrook Road,3,Northern Barton Heights,4,North-3
