CASE_REFERENCE,X_COORD,Y_COORD,ADDRESS,COUNCIL,NEIGHBORHOOD,PRECINCT,NSA
101000109663,11770861.176586,3730886.128174,1 Clarke Road,1,Mary Munford,3,Far West-2
101000038367,11774513.9908103,3728714.4976178,1 Malvern Ave Apt 6,1,Mary Munford,3,Far West-2
101000109651,11774513.9908103,3728714.4976178,1 Malvern Ave Apt 6,1,Mary Munford,3,Far West-2
101000027156,11770897.048562,3731304.892757,10 Clarke Road,1,Mary Munford,3,Far West-1
101000085001,11774303.6508804,3729007.29977706,10 Malvern Ave Apt 2,1,Mary Munford,3,Far West-2
101000014547,11774303.650672,3729007.300239,10 Malvern Ave Apt 5,1,Mary Munford,3,Far West-2
101000059265,11771089.90185,3730908.058577,10 Maxwell Road,1,Mary Munford,3,Far West-2
201818-101000059157,11771180.4786177,3730924.37318757,10 Maxwell Road,1,Mary Munford,3,Far West-2
101000108012,11772341.93117,3730088.706869,10 Westmoreland St,1,Mary Munford,3,Far West-2
101000064842,11772003.323252,3730238.522186,10 Willway Ave,1,Mary Munford,3,Far West-2
280586-101000118220,11772802.8318542,3730075.389191,100-198 Commonwealth Ave,1,Mary Munford,3,Far West-2
273965-101000114114,11775598.6736682,3728327.92449967,101-199 Cameron St,1,Mary Munford,3,Far West-2
282636-101000120198,11775607.6544119,3728360.44211299,101-199 Cameron St,1,Mary Munford,3,Far West-2
279208-101000117201,11775612.5005179,3728467.00400099,101-199 Cameron St,1,Mary Munford,3,Far West-2
194414-101000052949,11772572.225487,3730441.24459331,108 Westmoreland St,1,Mary Munford,3,Far West-2
204428-101000061056,11772650.5487688,3730510.37555864,108 Westmoreland St,1,Mary Munford,3,Far West-2
101000114702,11772444.234772,3730272.511947,106 Westmoreland St,1,Mary Munford,3,Far West-2
101000049385,11774595.2585104,3728844.76437671,11 Malvern Ave Apt 5,1,Mary Munford,3,Far West-2
260927-101000106827,11771210.5888207,3730850.9065762,11 Maxwell Road,1,Mary Munford,3,Far West-2
101000116673,11771299.5594249,3730890.01019337,11 Maxwell Road,1,Mary Munford,3,Far West-2
101000068145,11772163.3831462,3730186.23391888,11 Willway Ave,1,Mary Munford,3,Far West-2
101000098817,11772163.3831462,3730186.23391888,11 Willway Ave,1,Mary Munford,3,Far West-2
101000103236,11772566.431378,3730497.45113,116 Westmoreland St,1,Mary Munford,3,Far West-2
101000008939,11774379.097044,3728967.528337,12 Malvern Ave Apt 1,1,Mary Munford,3,Far West-2
101000011403,11774379.097044,3728967.528337,12 Malvern Ave Apt 1,1,Mary Munford,3,Far West-2
270464-101000111880,11772633.6774405,3730556.46943762,120 Westmoreland St,1,Mary Munford,3,Far West-2
202686-101000059663,11772605.6752957,3730589.02847619,120 Westmoreland St,1,Mary Munford,3,Far West-2
214470-101000068902,11772605.6752957,3730589.02847619,120 Westmoreland St,1,Mary Munford,3,Far West-2
101000002997,11772616.4313212,3730589.23490204,120 Westmoreland St,1,Mary Munford,3,Far West-2
101000059735,11772616.431278,3730589.235067,120 Westmoreland St,1,Mary Munford,3,Far West-2
101000073517,11772616.4313212,3730589.23490204,120 Westmoreland St,1,Mary Munford,3,Far West-2
247420-101000097974,11772616.431278,3730589.235067,120 Westmoreland St,1,Mary Munford,3,Far West-2
101000109323,11772644.735027,3730634.058797,122 Westmoreland St,1,Mary Munford,3,Far West-2
101000069501,11774566.536301,3728862.047905,13 Malvern Ave,1,Mary Munford,3,Far West-2
