CASE_REFERENCE,X_COORD,Y_COORD,ADDRESS,COUNCIL,NEIGHBORHOOD,PRECINCT,NSA
101000078738,11776887.0687057,3727935.45432246,10 N Nansemond St Ste C,1,Carytown,3,Near West-2
207861-101000063750,11777886.2739545,3727037.07679076,10 S Auburn Ave,5,Carytown,3,Near West-2
242775-101000094869,11777182.547802,3727355.416404,10 S Crenshaw Ave,5,Carytown,3,Near West-2
201246-101000058602,11776344.9891243,3728511.07739581,100 N Thompson St,1,Carytown,3,Near West-2
101000053086,11776351.731878,3728524.192609,100 N Thompson St,1,Carytown,3,Near West-2
101000059765,11776351.731878,3728524.192609,100 N Thompson St,1,Carytown,3,Near West-2
201891-101000059296,11776340.0463314,3728527.75102518,100 N Thompson St,1,Carytown,3,Near West-2
223927-101000076405,11779622.754207,3725978.312531,100 S Boulevard Apt 4,5,Carytown,3,Near West-2
223971-101000076450,11779622.754207,3725978.312531,100 S Boulevard Apt 6,5,Carytown,3,Near West-2
208547-101000064497,11779505.5338845,3725961.49237163,101 S Colonial Ave,5,Carytown,3,Near West-2
205392-101000061952,11777224.8796958,3727024.14845128,100-198 Freeman Road,5,Carytown,3,Near West-2
216116-101000070172,11777248.5048683,3727032.63665821,100-198 Freeman Road,5,Carytown,3,Near West-2
244041-101000095023,11776666.8632663,3727282.19891476,100-198 S Nansemond St,5,Carytown,3,Near West-2
101000072631,11779604.754243,3725935.245688,102 S Boulevard,5,Carytown,3,Near West-2
101000082539,11779604.7534833,3725935.24552762,102 S Boulevard Apt 1,5,Carytown,3,Near West-2
101000058277,11779604.7534833,3725935.24552762,102 S Boulevard Apt 2,5,Carytown,3,Near West-2
222040-101000074531,11778861.4884494,3726217.6938012,102 S Sheppard St,5,Carytown,3,Near West-2
201709-101000059114,11776456.3149702,3728638.34641568,105 N Thompson Ave,1,Carytown,3,Near West-2
256696-101000104419,11778916.375043,3726183.264549,105 S Sheppard St,5,Carytown,3,Near West-2
101000017160,11776371.205592,3728586.780739,104 N Thompson St,1,Carytown,3,Near West-2
101000115558,11776371.2049583,3728586.78032997,104 N Thompson St,1,Carytown,3,Near West-2
201116-101000058475,11776431.5586808,3728602.45442275,104 N Thompson St,1,Carytown,3,Near West-2
101000059757,11776271.588994,3728647.002731,105 Berrington Ct,1,Carytown,3,Near West-2
101000120125,11776271.588994,3728647.002731,105 Berrington Ct,1,Carytown,3,Near West-2
208256-101000064251,11776393.7777699,3728650.60436057,106 N Thompson,1,Carytown,3,Near West-2
256129-101000103928,11776264.3450427,3728786.2067185,109 Berrington Ct,1,Carytown,3,Near West-2
101000042874,11779379.526347,3725952.625902,109 S Colonial Ave,5,Carytown,3,Near West-2
101000091668,11776396.5135593,3728645.3029169,106 N Thompson St,1,Carytown,3,Near West-2
101000091669,11776396.5135593,3728645.3029169,106 N Thompson St,1,Carytown,3,Near West-2
101000091672,11776396.5135593,3728645.3029169,106 N Thompson St,1,Carytown,3,Near West-2
101000091675,11776396.513612,3728645.302932,106 N Thompson St,1,Carytown,3,Near West-2
230286-101000082196,11776497.9993888,3728777.69391367,106-198 N Thompson St,1,Carytown,3,Near West-2
260472-101000106466,11776513.1920359,3728777.74237627,106-198 N Thompson St,1,Carytown,3,Near West-2
256128-101000103926,11776232.1492997,3728719.7048943,107 Berrington Ct,1,Carytown,3,Near West-2
249241-101000099483,11776290.6548824,3728754.62210171,107 Berrington Ct,1,Carytown,3,Near West-2
256132-101000103929,11776265.8183236,3728769.02625453,107 Berrington Ct,1,Carytown,3,Near West-2
101000072737,11779574.5227055,3725891.78771391,108 S Boulevard,5,Carytown,3,Near West-2
101000006812,11777192.610445,3727213.141098,11 S Crenshaw Ave Apt B,5,Carytown,3,Near West-2
101000113903,11777610.976735,3727106.98383,11 S Dooley Ave,5,Carytown,3,Near West-2
101000006076,11776881.415858,3727490.049337,11 S Nansemond St,5,Carytown,3,Near West-2
101000058738,11776881.4153276,3727490.04910971,11 S Nansemond St,5,Carytown,3,Near West-2
101000104962,11776881.4153276,3727490.04910971,11 S Nansemond St,5,Carytown,3,Near West-2
101000005725,11779565.900974,3725869.50763,110 S Boulevard,5,Carytown,3,Near West-2
101000011802,11779565.900974,3725869.50763,110 S Boulevard,5,Carytown,3,Near West-2
101000017148,11779565.9009145,3725869.50748589,110 S Boulevard,5,Carytown,3,Near West-2
101000095354,11778378.206171,3726349.857391,112 S Belmont Ave,5,Carytown,3,Near West-2
207953-101000063975,11779595.8110744,3725807.9229581,112 S Boulevard,5,Carytown,3,Near West-2
213078-101000067697,11779578.9890994,3725833.68925345,112 S Boulevard,5,Carytown,3,Near West-2
101000008379,11779559.717916,3725842.166149,112 S Boulevard,5,Carytown,3,Near West-2
223202-101000075500,11779454.1870546,3725843.59215752,112 S Boulevard,5,Carytown,3,Near West-2
101000000541,11779559.717916,3725842.166149,112 S Boulevard Apt A,5,Carytown,3,Near West-2
274327-101000114242,11779259.8678571,3725979.70502361,112 S Colonial Ave,5,Carytown,3,Near West-2
243658-101000094590,11778402.325062,3726332.02377127,112-114 S Belmont Ave,5,Carytown,3,Near West-2
101000056694,11779359.526387,3725906.134853,113 S Colonial Ave,5,Carytown,3,Near West-2
101000056695,11779359.526387,3725906.134853,113 S Colonial Ave,5,Carytown,3,Near West-2
101000021382,11778370.206187,3726331.148439,114 S Belmont Ave,5,Carytown,3,Near West-2
241742-101000093077,11779499.9632886,3725826.53204496,114 S Boulevard,5,Carytown,3,Near West-2
101000094223,11777190.914255,3726876.763818,115 Freeman Road,5,Carytown,3,Near West-2
101000011659,11777190.914255,3726876.763818,115 Freeman Road,5,Carytown,3,Near West-2
101000074758,11779346.867948,3725881.885558,115 S Colonial Ave,5,Carytown,3,Near West-2
213578-101000068205,11779533.217969,3725780.226969,116 S Boulevard,5,Carytown,3,Near West-2
273793-101000114064,11779502.9965554,3725795.43124895,116 S Boulevard,5,Carytown,3,Near West-2
101000119166,11779249.973785,3725923.609556,116 S Colonial Ave,5,Carytown,3,Near West-2
213576-101000068203,11779508.803648,3725740.904869,118 S Boulevard,5,Carytown,3,Near West-2
213580-101000068206,11779454.3650522,3725789.68676545,118 S Boulevard,5,Carytown,3,Near West-2
101000012517,11779508.8033527,3725740.90481363,118 S Boulevard Apt 5,5,Carytown,3,Near West-2
101000116285,11779239.9727627,3725900.90398085,118 S Colonial Ave Apt A,5,Carytown,3,Near West-2
101000060996,11776191.1004784,3728301.23178193,12 N Thompson St,1,Carytown,3,Near West-2
101000099630,11777902.2425486,3727009.8538177,12 S Auburn Ave,5,Carytown,3,Near West-2
217352-101000071100,11777904.9580669,3727019.28878395,12 S Auburn Ave,5,Carytown,3,Near West-2
101000064864,11779729.0578,3726230.904217,12 S Boulevard,5,Carytown,3,Near West-2
101000066274,11779729.0578,3726230.904217,12 S Boulevard,5,Carytown,3,Near West-2
101000068986,11779729.0578,3726230.904217,12 S Boulevard,5,Carytown,3,Near West-2
101000072523,11779729.0578,3726230.904217,12 S Boulevard,5,Carytown,3,Near West-2
101000015906,11779729.0578,3726230.904217,12 S Boulevard Apt 4,5,Carytown,3,Near West-2
270418-101000111867,11777561.8351244,3727158.34715641,12 S Dooley Ave,5,Carytown,3,Near West-2
272689-101000113457,11777539.5705803,3727171.99813813,12 S Dooley Ave,5,Carytown,3,Near West-2
