CASE_REFERENCE,X_COORD,Y_COORD,ADDRESS,COUNCIL,NEIGHBORHOOD,PRECINCT,NSA
101000051931,11776845.0655078,3710685.90975659,1 Westover Hills Blvd,8,Belt Center,3,Midlothian-2
101000029897,11777238.0305767,3709809.46950192,100 Belt Blvd,8,Belt Center,2,Broad Rock-3
201806-101000059129,11778269.6437652,3708918.55297772,1001 Plazaview Road,8,Belt Center,2,Broad Rock-3
101000023641,11777114.111259,3710095.53721,101 Belt Blvd,8,Belt Center,2,Broad Rock-3
101000031699,11776964.9163457,3709878.84252563,102 Brandon Road,8,Belt Center,2,Broad Rock-3
101000036239,11777183.2499,3710022.519639,103 Belt Blvd,8,Belt Center,2,Broad Rock-3
101000039117,11777183.2499,3710022.519639,103 Belt Blvd,8,Belt Center,2,Broad Rock-3
101000004947,11777009.416914,3709713.080954,112 Brandon Road,8,Belt Center,2,Broad Rock-3
101000052617,11777376.50017,3709707.120007,114 Belt Blvd,8,Belt Center,2,Broad Rock-3
101000052624,11777376.4994061,3709707.12077514,114 Belt Blvd,8,Belt Center,2,Broad Rock-3
101000029541,11777075.08345,3709625.408885,120 Brandon Road,8,Belt Center,2,Broad Rock-3
101000048276,11777075.08345,3709625.408885,120 Brandon Road,8,Belt Center,2,Broad Rock-3
101000113325,11777115.08284,3709579.88394658,124 Brandon Road,8,Belt Center,2,Broad Rock-3
101000082226,11777153.999958,3709535.330981,128 Brandon Road,8,Belt Center,2,Broad Rock-3
101000015701,11777193.9996381,3709490.11982644,132 Brandon Road,8,Belt Center,2,Broad Rock-3
101000066021,11777193.999878,3709490.119457,132 Brandon Road,8,Belt Center,2,Broad Rock-3
101000066113,11777193.999878,3709490.119457,132 Brandon Road,8,Belt Center,2,Broad Rock-3
101000092387,11777193.999878,3709490.119457,132 Brandon Road,8,Belt Center,2,Broad Rock-3
101000052196,11777743.4161069,3709821.859433,133 Belt Blvd,8,Belt Center,2,Broad Rock-3
101000061112,11777743.4161069,3709821.859433,133 Belt Blvd Unit 1B,8,Belt Center,2,Broad Rock-3
101000050359,11777743.416759,3709821.858951,133 Belt Blvd Unit D,8,Belt Center,2,Broad Rock-3
101000044607,11777743.4161069,3709821.859433,133 Belt Blvd Unit E,8,Belt Center,2,Broad Rock-3
101000058971,11777743.416759,3709821.858951,133 Belt Blvd Unit M,8,Belt Center,2,Broad Rock-3
101000013871,11777743.4161069,3709821.859433,133 Belt Blvd Unit R,8,Belt Center,2,Broad Rock-3
204584-101000061119,11777873.663466,3709958.3987072,133 E Belt Blvd E,8,Belt Center,2,Broad Rock-3
226377-101000078647,11777347.9379281,3709290.34692547,138 Brandon Road,8,Belt Center,2,Broad Rock-3
227040-101000080269,11777288.0650395,3709417.04035301,138 Brandon Road,8,Belt Center,2,Broad Rock-3
101000049496,11777256.4375398,3709418.986157,138 Brandon Road,8,Belt Center,2,Broad Rock-3
101000006442,11777283.624699,3709390.749249,140 Brandon Road,8,Belt Center,2,Broad Rock-3
101000092382,11777283.6243706,3709390.74963567,140 Brandon Road,8,Belt Center,2,Broad Rock-3
101000117631,11777322.624949,3709346.668301,144 Brandon Road,8,Belt Center,2,Broad Rock-3
101000015163,11777799.124464,3709539.9357438,146 Belt Blvd,8,Belt Center,2,Broad Rock-3
101000004967,11777482.583291,3709167.32089,160 Brandon Road,8,Belt Center,2,Broad Rock-3
101000012697,11777482.583291,3709167.32089,160 Brandon Road,8,Belt Center,2,Broad Rock-3
101000007946,11777582.5416784,3709244.32714173,163 Brandon Road,8,Belt Center,2,Broad Rock-3
101000014005,11777582.5416784,3709244.32714173,163 Brandon Road,8,Belt Center,2,Broad Rock-3
101000014043,11777582.5416784,3709244.32714173,163 Brandon Road,8,Belt Center,2,Broad Rock-3
101000112755,11777582.5416784,3709244.32714173,163 Brandon Road,8,Belt Center,2,Broad Rock-3
101000112757,11777582.5416784,3709244.32714173,163 Brandon Road,8,Belt Center,2,Broad Rock-3
247288-101000097787,11777519.2111314,3709120.02723029,164 Brandon Road,8,Belt Center,2,Broad Rock-3
101000007981,11777521.624879,3709122.104445,164 Brandon Road,8,Belt Center,2,Broad Rock-3
101000104937,11777521.624879,3709122.104445,164 Brandon Road,8,Belt Center,2,Broad Rock-3
