CASE_REFERENCE,X_COORD,Y_COORD,ADDRESS,COUNCIL,NEIGHBORHOOD,PRECINCT,NSA
204710-101000061307,11789147.7789141,3727885.63316084,1104-1198 Oak St,3,Chamberlayne Industrial Center,4,North-3
204709-101000061308,11789065.7069416,3727906.94004186,1104-1198 Oak St,3,Chamberlayne Industrial Center,4,North-3
204705-101000061305,11789261.790824,3727777.17219644,1109 Oak St,3,Chamberlayne Industrial Center,4,North-3
198119-101000056034,11789178.5682043,3727806.59291472,1109 Oak St,3,Chamberlayne Industrial Center,4,North-3
204707-101000061306,11789130.6002859,3727839.60135761,1109 Oak St,3,Chamberlayne Industrial Center,4,North-3
204711-101000061309,11789099.5468041,3727847.58833511,1109 Oak St,3,Chamberlayne Industrial Center,4,North-3
101000053273,11789241.287135,3727137.603519,1201 Brook Road,3,Chamberlayne Industrial Center,4,North-3
204703-101000061304,11789250.158272,3727828.437839,1201 Oak St,3,Chamberlayne Industrial Center,4,North-3
267557-101000110585,11789222.7297888,3727893.24221715,1201 Oak St,3,Chamberlayne Industrial Center,4,North-3
217851-101000071458,11789029.5864558,3728922.94978375,1201-1399 Sledd St,3,Chamberlayne Industrial Center,4,North-3
204712-101000061310,11789300.7136656,3728054.03443926,1204 Oak St,3,Chamberlayne Industrial Center,4,North-3
101000001179,11788046.128108,3728684.836317,1205 School St,3,Chamberlayne Industrial Center,4,North-3
101000001618,11789152.3575952,3728226.80498078,1205 W Fritz St,3,Chamberlayne Industrial Center,4,North-3
101000013201,11787586.272954,3728458.88705545,1207 A School St,3,Chamberlayne Industrial Center,4,North-3
279806-101000117755,11787889.6248828,3728426.2343955,1207 School St,3,Chamberlayne Industrial Center,4,North-3
281332-101000118945,11787889.6248828,3728426.2343955,1207 School St,3,Chamberlayne Industrial Center,4,North-3
101000117279,11787971.8870739,3728504.53613721,1207 School St,3,Chamberlayne Industrial Center,4,North-3
101000000379,11787971.887115,3728504.536153,1207 School St Ste 5,3,Chamberlayne Industrial Center,4,North-3
101000100491,11789228.266492,3727148.888273,1219 Brook Road,3,Chamberlayne Industrial Center,4,North-3
101000098455,11787382.4686719,3728662.96777684,1301 School St,3,Chamberlayne Industrial Center,4,North-3
101000117637,11787382.469331,3728662.967922,1301 School St,3,Chamberlayne Industrial Center,4,North-3
101000117653,11787382.469331,3728662.967922,1301 School St,3,Chamberlayne Industrial Center,4,North-3
101000119929,11787382.4686719,3728662.96777684,1301 School St,3,Chamberlayne Industrial Center,4,North-3
202752-101000059813,11787045.1925951,3729098.02928728,1400 Lombardy Ave (Alley),3,Chamberlayne Industrial Center,4,North-3
101000003521,11788994.7264615,3727727.66619978,1417 Brook Road,3,Chamberlayne Industrial Center,4,North-3
101000001419,11789442.4880272,3727836.64090378,1420 Chamberlayne Pkwy,3,Chamberlayne Industrial Center,4,North-3
101000072652,11788791.66041,3727772.022198,1500 Brook Road,3,Chamberlayne Industrial Center,4,North-3
101000107454,11789414.4072463,3728095.93784246,1500 Chamberlayne Pkwy,3,Chamberlayne Industrial Center,4,North-3
101000003871,11790419.910434,3727862.640783,1500 Hickory St,3,Chamberlayne Industrial Center,4,North-3
101000064610,11789830.4561639,3727938.55044251,1500 Roane St,3,Chamberlayne Industrial Center,4,North-3
101000111639,11789830.4561639,3727938.55044251,1500 Roane St,3,Chamberlayne Industrial Center,4,North-3
204706-101000061302,11789475.3075549,3728065.71344263,1500 Us-301,3,Chamberlayne Industrial Center,4,North-3
101000077714,11788928.471816,3727816.490941,1501 Brook Road,3,Chamberlayne Industrial Center,4,North-3
101000111546,11790838.288535,3727769.829289,1501 Fendall Ave,3,Chamberlayne Industrial Center,4,North-3
101000068709,11788808.5706866,3728355.97766306,1501 Sledd St,3,Chamberlayne Industrial Center,4,North-3
204713-101000061311,11789204.7938058,3727922.57050582,1501-1505 High St,3,Chamberlayne Industrial Center,4,North-3
101000018800,11788914.799599,3727843.835046,1503 Brook Road Apt 1,3,Chamberlayne Industrial Center,4,North-3
101000078577,11789811.4791907,3728002.95923954,1504 Roane St,3,Chamberlayne Industrial Center,4,North-3
101000049833,11788872.497519,3727889.156478,1505 Brook Road,3,Chamberlayne Industrial Center,4,North-3
101000111542,11788872.497519,3727889.156478,1505 Brook Road,3,Chamberlayne Industrial Center,4,North-3
101000115049,11788872.497519,3727889.156478,1505 Brook Road,3,Chamberlayne Industrial Center,4,North-3
101000115101,11788872.497519,3727889.156478,1505 Brook Road,3,Chamberlayne Industrial Center,4,North-3
204704-101000061303,11788950.7741954,3727900.09808307,1505 Brook Road,3,Chamberlayne Industrial Center,4,North-3
101000101054,11789137.2359767,3728077.29415382,1505 High St,3,Chamberlayne Industrial Center,4,North-3
101000092439,11788388.7201447,3727829.45114615,1506 Webster St,3,Chamberlayne Industrial Center,4,North-3
101000002701,11789549.240916,3728080.283064,1509 Chamberlayne Pkwy,3,Chamberlayne Industrial Center,4,North-3
101000007219,11789549.240916,3728080.283064,1509 Chamberlayne Pkwy,3,Chamberlayne Industrial Center,4,North-3
101000021712,11789549.240916,3728080.283064,1509 Chamberlayne Pkwy,3,Chamberlayne Industrial Center,4,North-3
101000064398,11789549.240916,3728080.283064,1509 Chamberlayne Pkwy,3,Chamberlayne Industrial Center,4,North-3
101000107999,11789549.240315,3728080.28281296,1509 Chamberlayne Pkwy,3,Chamberlayne Industrial Center,4,North-3
101000003500,11788276.660456,3727972.301981,1510 Webster St,3,Chamberlayne Industrial Center,4,North-3
226601-101000078691,11788552.4578496,3728191.0825312,1512 Brook Road,3,Chamberlayne Industrial Center,4,North-3
101000034832,11790745.9569008,3728022.71880847,1512 Fendall Ave,3,Chamberlayne Industrial Center,4,North-3
101000049944,11790544.1266288,3728050.1151101,1513 Hickory St,3,Chamberlayne Industrial Center,4,North-3
101000010793,11789558.6696202,3728134.88463418,1515 Chamberlayne Pkwy,3,Chamberlayne Industrial Center,4,North-3
275641-101000114767,11790560.5894557,3728084.34825472,1515 Hickory St,3,Chamberlayne Industrial Center,4,North-3
101000105736,11788747.5118665,3728062.07130405,1521 Brook Road,3,Chamberlayne Industrial Center,4,North-3
101000051902,11788664.8985689,3728182.23985252,1529 Brook Road,3,Chamberlayne Industrial Center,4,North-3
244061-101000095048,11788639.2354472,3728172.08995938,1529-1599 Brook Road,3,Chamberlayne Industrial Center,4,North-3
256455-101000104252,11788906.5230225,3728231.95809215,1532 High St,3,Chamberlayne Industrial Center,4,North-3
101000063291,11788940.474089,3728244.369678,1532 High St,3,Chamberlayne Industrial Center,4,North-3
101000007185,11788971.610838,3728326.943332,1535 High St,3,Chamberlayne Industrial Center,4,North-3
101000113692,11789303.030778,3728363.286763,1600 Chamberlayne Pkwy,3,Chamberlayne Industrial Center,4,North-3
261110-101000106933,11789914.0432209,3728314.21385508,1603 Roane St,3,Chamberlayne Industrial Center,4,North-3
261114-101000106951,11789914.0432209,3728314.21385508,1603 Roane St,3,Chamberlayne Industrial Center,4,North-3
275632-101000114764,11789914.0432209,3728314.21385508,1603 Roane St,3,Chamberlayne Industrial Center,4,North-3
275635-101000114762,11789914.0432209,3728314.21385508,1603 Roane St,3,Chamberlayne Industrial Center,4,North-3
275636-101000114763,11789914.0432209,3728314.21385508,1603 Roane St,3,Chamberlayne Industrial Center,4,North-3
