CASE_REFERENCE,X_COORD,Y_COORD,ADDRESS,COUNCIL,NEIGHBORHOOD,PRECINCT,NSA
219797-101000072831,11777414.510264,3731111.637238,1001 N Hamilton St,1,Malvern Gardens,3,Far West-2
225946-101000078434,11776241.8350599,3731864.23239796,1001-1003 Malvern Ave,1,Malvern Gardens,3,Far West-2
101000013743,11777459.565292,3731169.565271,1003 N Hamilton St Apt D,1,Malvern Gardens,3,Far West-2
101000098752,11777459.5651297,3731169.5650704,1003 N Hamilton St Apt L,1,Malvern Gardens,3,Far West-2
101000081903,11777520.711823,3731238.757718,1005 N Hamilton St Apt,1,Malvern Gardens,3,Far West-2
101000039352,11776659.499963,3731716.777104,1006 Lafayette St,1,Malvern Gardens,3,Far West-2
101000039714,11776659.499963,3731716.777104,1006 Lafayette St,1,Malvern Gardens,3,Far West-2
101000044852,11776659.499963,3731716.777104,1006 Lafayette St,1,Malvern Gardens,3,Far West-2
101000002493,11775856.687592,3732185.798475,1007 Antrim Ave,1,Malvern Gardens,3,Far West-2
101000002495,11775856.687592,3732185.798475,1007 Antrim Ave,1,Malvern Gardens,3,Far West-2
101000106751,11777568.985349,3731295.076503,1007 N Hamilton St,1,Malvern Gardens,3,Far West-2
101000046380,11777568.985349,3731295.076503,1007 N Hamilton St,1,Malvern Gardens,3,Far West-2
101000080142,11777568.9852514,3731295.07629482,1007 N Hamilton St,1,Malvern Gardens,3,Far West-2
198239-101000056186,11777627.0727619,3731248.94237275,1007 N Hamilton St Apt B,1,Malvern Gardens,3,Far West-2
101000037321,11777568.9852514,3731295.07629482,1007 N Hamilton St Apt D,1,Malvern Gardens,3,Far West-2
101000020273,11777568.985349,3731295.076503,1007 N Hamilton St Apt I,1,Malvern Gardens,3,Far West-2
101000101237,11776753.8888218,3731699.78497196,1009 Lafayette St,1,Malvern Gardens,3,Far West-2
202568-101000059521,11776648.7543589,3731772.39299849,1010 Lafayette St,1,Malvern Gardens,3,Far West-2
204373-101000060971,11776648.7543589,3731772.39299849,1010 Lafayette St,1,Malvern Gardens,3,Far West-2
245823-101000096276,11776241.4875835,3731929.54223735,1028-1050 Malvern Ave,1,Malvern Gardens,3,Far West-2
249445-101000099503,11776260.8958678,3731957.9027648,1028-1050 Malvern Ave,1,Malvern Gardens,3,Far West-2
203022-101000060006,11775092.4273017,3732645.09474493,1047-1053 Shenandoah St,1,Malvern Gardens,3,Far West-2
210339-101000066037,11775126.6633089,3732689.15576488,1055-1099 Shenandoah St,1,Malvern Gardens,3,Far West-2
101000023292,11777625.304111,3731364.26788092,1101 N Hamilton St Apt A,1,Malvern Gardens,3,Far West-2
101000004943,11777625.304111,3731364.26788092,1101 N Hamilton St Apt B,1,Malvern Gardens,3,Far West-2
101000004945,11777625.304111,3731364.26788092,1101 N Hamilton St Apt B,1,Malvern Gardens,3,Far West-2
101000077813,11777625.304111,3731364.26788092,1101 N Hamilton St Apt C,1,Malvern Gardens,3,Far West-2
198206-101000056136,11774928.1958232,3733341.89773489,1101-1199 Commonwealth Ave,1,Malvern Gardens,3,Far West-2
198919-101000056675,11775317.4051182,3732905.86612521,1101-1199 Shenandoah St,1,Malvern Gardens,3,Far West-2
198921-101000056676,11775262.0253139,3732914.99914252,1101-1199 Shenandoah St,1,Malvern Gardens,3,Far West-2
101000000069,11777671.968739,3731420.587735,1103 N Hamilton St Apt E,1,Malvern Gardens,3,Far West-2
101000092467,11777671.9686205,3731420.58751925,1103 N Hamilton St Apt I,1,Malvern Gardens,3,Far West-2
240422-101000091724,11777791.5190436,3731446.94790832,1105 L N Hamilton St,1,Malvern Gardens,3,Far West-2
226692-101000078858,11777044.7315105,3732178.24687833,1146-1198 Lafayette St,1,Malvern Gardens,3,Far West-2
215078-101000069213,11774911.104182,3733471.882517,1200 Commonwealth Ave,1,Malvern Gardens,3,Far West-2
101000037532,11774586.145842,3733671.304691,1201 Westmoreland St,1,Malvern Gardens,3,Far West-2
101000113113,11774586.145842,3733671.304691,1201 Westmoreland St,1,Malvern Gardens,3,Far West-2
262315-101000107560,11775841.1045125,3733053.90959499,1201-1299 Sauer Ave,1,Malvern Gardens,3,Far West-2
281594-101000119160,11775043.4567062,3733506.14636268,1245-1299 Commonwealth Ave,1,Malvern Gardens,3,Far West-2
101000086525,11777041.3272801,3730562.63209797,3712 Patterson Ave,1,Malvern Gardens,3,Far West-2
101000001676,11777018.479888,3730578.979182,3716 Patterson Ave,1,Malvern Gardens,3,Far West-2
201715-101000059117,11776958.4879371,3730507.50244926,3722 Patterson Ave,1,Malvern Gardens,3,Far West-2
101000103013,11777691.449999,3731622.104721,3801 Monument Ave,1,Malvern Gardens,3,Far West-2
101000026319,11777691.449999,3731622.104721,3801 Monument Ave,1,Malvern Gardens,3,Far West-2
101000038663,11777691.449999,3731622.104721,3801 Monument Ave,1,Malvern Gardens,3,Far West-2
199187-101000056991,11777760.0402987,3731662.17809984,3801 Monument Ave,1,Malvern Gardens,3,Far West-2
206749-101000063039,11776701.6743747,3730663.54396956,3807 Noble Ave,1,Malvern Gardens,3,Far West-2
101000102767,11776940.389493,3731012.810008,3900 Park Ave,1,Malvern Gardens,3,Far West-2
101000014998,11776940.389493,3731012.810008,3900 Park Ave,1,Malvern Gardens,3,Far West-2
101000067035,11776940.389493,3731012.810008,3900 Park Ave,1,Malvern Gardens,3,Far West-2
278704-101000116842,11777032.8730891,3731046.49162777,3900 Park Ave,1,Malvern Gardens,3,Far West-2
196169-101000054410,11776766.5565804,3730740.78236018,3900 Patterson Ave,1,Malvern Gardens,3,Far West-2
101000003211,11777132.333335,3731334.627933,3900 W Franklin St,1,Malvern Gardens,3,Far West-2
101000056056,11777132.3326516,3731334.62735947,3900 W Franklin St,1,Malvern Gardens,3,Far West-2
101000038574,11777289.9287438,3731658.14309184,3900 Wythe Ave,1,Malvern Gardens,3,Far West-2
101000104770,11777289.929477,3731658.143363,3900 Wythe Ave,1,Malvern Gardens,3,Far West-2
101000045133,11777289.929477,3731658.143363,3900 Wythe Ave,1,Malvern Gardens,3,Far West-2
101000004526,11777428.021064,3731814.282158,3901 Monument Ave,1,Malvern Gardens,3,Far West-2
101000031606,11777428.021064,3731814.282158,3901 Monument Ave,1,Malvern Gardens,3,Far West-2
101000075342,11777428.021064,3731814.282158,3901 Monument Ave,1,Malvern Gardens,3,Far West-2
101000105414,11777428.021064,3731814.282158,3901 Monument Ave,1,Malvern Gardens,3,Far West-2
101000115206,11777428.021064,3731814.282158,3901 Monument Ave,1,Malvern Gardens,3,Far West-2
101000033548,11776860.499561,3730889.706579,3901 Park Ave,1,Malvern Gardens,3,Far West-2
101000034411,11776860.4993858,3730889.7064995,3901 Park Ave,1,Malvern Gardens,3,Far West-2
101000034412,11776860.499561,3730889.706579,3901 Park Ave,1,Malvern Gardens,3,Far West-2
208723-101000064723,11776904.2366566,3731043.29366639,3902 Park Ave,1,Malvern Gardens,3,Far West-2
101000025383,11776723.278051,3730762.548369,3902 Patterson Ave,1,Malvern Gardens,3,Far West-2
101000000738,11777095.3333942,3731353.65806312,3902 W Franklin St,1,Malvern Gardens,3,Far West-2
101000039148,11777095.3333942,3731353.65806312,3902 W Franklin St,1,Malvern Gardens,3,Far West-2
101000119235,11777003.4161624,3731212.23405875,3903 W Franklin St,1,Malvern Gardens,3,Far West-2
101000030823,11776684.278129,3730788.821938,3904 Patterson Ave,1,Malvern Gardens,3,Far West-2
207721-101000063599,11776734.5288454,3730850.07856817,3904 Patterson Ave,1,Malvern Gardens,3,Far West-2
101000097181,11777054.625157,3731370.751877,3904 W Franklin St,1,Malvern Gardens,3,Far West-2
101000115361,11777054.625157,3731370.751877,3904 W Franklin St,1,Malvern Gardens,3,Far West-2
101000109299,11776965.4162726,3731235.42770449,3905 W Franklin St,1,Malvern Gardens,3,Far West-2
101000109301,11776965.416674,3731235.428329,3905 W Franklin St,1,Malvern Gardens,3,Far West-2
101000104409,11777016.083239,3731390.973949,3906 W Franklin St,1,Malvern Gardens,3,Far West-2
101000042644,11777016.083239,3731390.973949,3906 W Franklin St,1,Malvern Gardens,3,Far West-2
101000002592,11776795.889126,3731102.275708,3908 Park Ave,1,Malvern Gardens,3,Far West-2
101000020724,11776795.889126,3731102.275708,3908 Park Ave,1,Malvern Gardens,3,Far West-2
101000056924,11776795.889126,3731102.275708,3908 Park Ave,1,Malvern Gardens,3,Far West-2
101000026486,11776980.624977,3731416.14155,3908 W Franklin St,1,Malvern Gardens,3,Far West-2
101000042642,11776980.624977,3731416.14155,3908 W Franklin St,1,Malvern Gardens,3,Far West-2
101000022560,11777219.0831942,3731706.91944174,3908 Wythe Ave,1,Malvern Gardens,3,Far West-2
204086-101000060712,11777272.0084378,3731894.66857656,3909 Monument Ave,1,Malvern Gardens,3,Far West-2
101000066601,11777292.175207,3731916.112663,3909 Monument Ave,1,Malvern Gardens,3,Far West-2
101000119938,11777292.175207,3731916.112663,3909 Monument Ave,1,Malvern Gardens,3,Far West-2
101000075031,11777039.70852,3731664.887115,3909 Wythe Ave,1,Malvern Gardens,3,Far West-2
218265-101000071704,11776757.8274309,3731132.53673905,3910 Park Ave,1,Malvern Gardens,3,Far West-2
238816-101000090100,11776757.8274309,3731132.53673905,3910 Park Ave,1,Malvern Gardens,3,Far West-2
267173-101000110204,11776759.0733743,3731137.97576627,3910 Park Ave,1,Malvern Gardens,3,Far West-2
194263-101000052935,11776521.9375704,3730802.02596152,3910 Patterson Ave,1,Malvern Gardens,3,Far West-2
239566-101000090871,11776597.4894359,3730936.77106101,3910 Patterson Ave,1,Malvern Gardens,3,Far West-2
101000052664,11776949.00004,3731440.755346,3910 W Franklin St,1,Malvern Gardens,3,Far West-2
101000104071,11776948.9996723,3731440.75512814,3910 W Franklin St,1,Malvern Gardens,3,Far West-2
101000119927,11777178.445776,3731737.539201,3910 Wythe Ave,1,Malvern Gardens,3,Far West-2
268704-101000111041,11777308.4010402,3732006.260969,3911 Monument Ave,1,Malvern Gardens,3,Far West-2
213510-101000068127,11776681.6104601,3730998.97399554,3911 Park Ave,1,Malvern Gardens,3,Far West-2
101000104148,11776710.667512,3731152.928822,3912 Park Ave,1,Malvern Gardens,3,Far West-2
101000039075,11776710.667512,3731152.928822,3912 Park Ave,1,Malvern Gardens,3,Far West-2
101000104875,11776710.667512,3731152.928822,3912 Park Ave,1,Malvern Gardens,3,Far West-2
101000046455,11776710.667512,3731152.928822,3912 Park Ave,1,Malvern Gardens,3,Far West-2
101000059229,11776910.999788,3731468.013165,3912 W Franklin St,1,Malvern Gardens,3,Far West-2
196431-101000054456,11777180.051924,3731809.02070119,3912 Wythe Ave,1,Malvern Gardens,3,Far West-2
101000115308,11777210.675042,3731976.962935,3913 Monument Ave,1,Malvern Gardens,3,Far West-2
101000012825,11776642.6099379,3731022.43006392,3913 Park Ave,1,Malvern Gardens,3,Far West-2
101000108614,11776642.610561,3731022.430395,3913 Park Ave,1,Malvern Gardens,3,Far West-2
101000032870,11776642.610561,3731022.430395,3913 Park Ave,1,Malvern Gardens,3,Far West-2
101000011264,11776821.999966,3731321.664377,3913 W Franklin St,1,Malvern Gardens,3,Far West-2
101000028449,11776862.166553,3731483.473436,3914 W Franklin St,1,Malvern Gardens,3,Far West-2
216443-101000070241,11776598.1039279,3731041.8630867,3915 Park Ave,1,Malvern Gardens,3,Far West-2
101000012686,11776606.1658951,3731048.61859841,3915 Park Ave,1,Malvern Gardens,3,Far West-2
101000104259,11776606.16608,3731048.618663,3915 Park Ave,1,Malvern Gardens,3,Far West-2
101000070741,11776638.667328,3731195.517319,3916 Park Ave,1,Malvern Gardens,3,Far West-2
101000107659,11776829.87495,3731515.541614,3916 W Franklin St,1,Malvern Gardens,3,Far West-2
101000006848,11777079.583441,3731800.957709,3916 Wythe Ave,1,Malvern Gardens,3,Far West-2
101000040907,11777079.583441,3731800.957709,3916 Wythe Ave,1,Malvern Gardens,3,Far West-2
219793-101000072829,11776736.2673839,3731356.06760023,3917 W Franklin St,1,Malvern Gardens,3,Far West-2
222873-101000075395,11776736.2673839,3731356.06760023,3917 W Franklin St,1,Malvern Gardens,3,Far West-2
101000065986,11776400.333487,3730968.162459,3918 Patterson Ave,1,Malvern Gardens,3,Far West-2
230852-101000082679,11776400.333487,3730968.162459,3918 Patterson Ave,1,Malvern Gardens,3,Far West-2
197912-101000055889,11776401.8499721,3730976.17887684,3918 Patterson Ave,1,Malvern Gardens,3,Far West-2
230240-101000082190,11776401.8499721,3730976.17887684,3918 Patterson Ave,1,Malvern Gardens,3,Far West-2
249801-101000099992,11776401.8499721,3730976.17887684,3918 Patterson Ave,1,Malvern Gardens,3,Far West-2
101000001986,11776795.875018,3731535.985142,3918 W Franklin St,1,Malvern Gardens,3,Far West-2
101000079421,11777039.945725,3731841.350673,3918 Wythe Ave Apt B,1,Malvern Gardens,3,Far West-2
208159-101000064194,11776522.2323266,3731078.44569958,3919 Park Ave,1,Malvern Gardens,3,Far West-2
101000011187,11776534.666223,3731094.110042,3919 Park Ave,1,Malvern Gardens,3,Far West-2
101000041960,11776534.666223,3731094.110042,3919 Park Ave,1,Malvern Gardens,3,Far West-2
101000043432,11776847.691844,3731812.816938,3919 Wythe Ave,1,Malvern Gardens,3,Far West-2
101000091698,11776847.691844,3731812.816938,3919 Wythe Ave,1,Malvern Gardens,3,Far West-2
101000043572,11776847.6912917,3731812.81671455,3919 Wythe Ave,1,Malvern Gardens,3,Far West-2
101000064884,11776569.88925,3731234.987385,3920 Park Ave,1,Malvern Gardens,3,Far West-2
101000065067,11776569.88925,3731234.987385,3920 Park Ave,1,Malvern Gardens,3,Far West-2
101000114579,11776569.88925,3731234.987385,3920 Park Ave,1,Malvern Gardens,3,Far West-2
101000003790,11776998.945807,3731870.121941,3920 Wythe Ave,1,Malvern Gardens,3,Far West-2
101000000234,11776494.832642,3731116.89182,3921 Park Ave,1,Malvern Gardens,3,Far West-2
101000037794,11776494.832642,3731116.89182,3921 Park Ave,1,Malvern Gardens,3,Far West-2
101000043571,11776494.832642,3731116.89182,3921 Park Ave,1,Malvern Gardens,3,Far West-2
101000077167,11776494.832642,3731116.89182,3921 Park Ave,1,Malvern Gardens,3,Far West-2
101000032567,11776523.77845,3731264.386932,3922 Park Ave,1,Malvern Gardens,3,Far West-2
101000089510,11776523.7784212,3731264.38686148,3922 Park Ave,1,Malvern Gardens,3,Far West-2
101000089512,11776523.77845,3731264.386932,3922 Park Ave,1,Malvern Gardens,3,Far West-2
101000089514,11776523.77845,3731264.386932,3922 Park Ave,1,Malvern Gardens,3,Far West-2
101000109657,11776523.77845,3731264.386932,3922 Park Ave,1,Malvern Gardens,3,Far West-2
101000032741,11776627.3746289,3731437.32338744,3923 W Franklin St,1,Malvern Gardens,3,Far West-2
101000108713,11776476.333991,3731302.031214,3924 Park Ave,1,Malvern Gardens,3,Far West-2
101000040802,11776919.5834171,3731927.68541568,3924 Wythe Ave,1,Malvern Gardens,3,Far West-2
101000040803,11776919.583432,3731927.686131,3924 Wythe Ave,1,Malvern Gardens,3,Far West-2
250431-101000100278,11777109.5711461,3732013.81510583,3925 Monument Ave,1,Malvern Gardens,3,Far West-2
101000104837,11777127.43341,3732036.346674,3925 Monument Ave,1,Malvern Gardens,3,Far West-2
101000045968,11777127.43341,3732036.346674,3925 Monument Ave,1,Malvern Gardens,3,Far West-2
101000022592,11776393.054958,3731174.661718,3925 Park Ave,1,Malvern Gardens,3,Far West-2
101000068157,11776393.054958,3731174.661718,3925 Park Ave,1,Malvern Gardens,3,Far West-2
101000068375,11776393.054958,3731174.661718,3925 Park Ave,1,Malvern Gardens,3,Far West-2
198093-101000056010,11776587.5722083,3731455.95625455,3925 W Franklin St,1,Malvern Gardens,3,Far West-2
198964-101000056691,11776587.5722083,3731455.95625455,3925 W Franklin St,1,Malvern Gardens,3,Far West-2
200124-101000057817,11776587.5722083,3731455.95625455,3925 W Franklin St,1,Malvern Gardens,3,Far West-2
101000022860,11776593.791761,3731464.986925,3925 W Franklin St,1,Malvern Gardens,3,Far West-2
101000026351,11776593.791761,3731464.986925,3925 W Franklin St,1,Malvern Gardens,3,Far West-2
101000056783,11776593.791761,3731464.986925,3925 W Franklin St,1,Malvern Gardens,3,Far West-2
101000058031,11776593.791761,3731464.986925,3925 W Franklin St,1,Malvern Gardens,3,Far West-2
101000062546,11776593.791761,3731464.986925,3925 W Franklin St,1,Malvern Gardens,3,Far West-2
101000066048,11776593.791761,3731464.986925,3925 W Franklin St,1,Malvern Gardens,3,Far West-2
101000066116,11776593.791761,3731464.986925,3925 W Franklin St,1,Malvern Gardens,3,Far West-2
101000084250,11776593.791761,3731464.986925,3925 W Franklin St,1,Malvern Gardens,3,Far West-2
101000097923,11776593.791761,3731464.986925,3925 W Franklin St,1,Malvern Gardens,3,Far West-2
101000098343,11776593.791761,3731464.986925,3925 W Franklin St,1,Malvern Gardens,3,Far West-2
101000041196,11777089.933485,3732064.025097,3927 Monument Ave,1,Malvern Gardens,3,Far West-2
101000012412,11777054.433556,3732091.67596,3929 Monument Ave,1,Malvern Gardens,3,Far West-2
101000078176,11777054.433556,3732091.67596,3929 Monument Ave,1,Malvern Gardens,3,Far West-2
101000001520,11776368.167869,3731355.711881,4000 Park Ave,1,Malvern Gardens,3,Far West-2
101000006064,11776368.167869,3731355.711881,4000 Park Ave,1,Malvern Gardens,3,Far West-2
101000044373,11776368.167869,3731355.711881,4000 Park Ave,1,Malvern Gardens,3,Far West-2
101000112705,11776368.167869,3731355.711881,4000 Park Ave,1,Malvern Gardens,3,Far West-2
101000051637,11776368.167869,3731355.711881,4000 Park Ave,1,Malvern Gardens,3,Far West-2
101000056732,11776965.933405,3732152.804447,4001 Monument Ave,1,Malvern Gardens,3,Far West-2
101000077163,11776296.055152,3731249.347264,4001 Park Ave,1,Malvern Gardens,3,Far West-2
101000077165,11776296.0547428,3731249.34700673,4001 Park Ave,1,Malvern Gardens,3,Far West-2
261506-101000107303,11776523.7865246,3731504.77536808,4001 W Franklin St,1,Malvern Gardens,3,Far West-2
101000099765,11776762.191687,3731886.399468,4001 Wythe Ave,1,Malvern Gardens,3,Far West-2
101000051292,11776762.191687,3731886.399468,4001 Wythe Ave,1,Malvern Gardens,3,Far West-2
101000025823,11776573.45814,3731657.014428,4002 W Franklin St,1,Malvern Gardens,3,Far West-2
101000098165,11776573.4580656,3731657.01397362,4002 W Franklin St,1,Malvern Gardens,3,Far West-2
101000105748,11776573.4580656,3731657.01397362,4002 W Franklin St,1,Malvern Gardens,3,Far West-2
101000105755,11776573.4580656,3731657.01397362,4002 W Franklin St,1,Malvern Gardens,3,Far West-2
101000015764,11776926.933483,3732181.394285,4003 Monument Ave,1,Malvern Gardens,3,Far West-2
101000036572,11776255.8324369,3731276.45051633,4003 Park Ave Apt A,1,Malvern Gardens,3,Far West-2
101000119053,11776436.374753,3731556.378802,4003 W Franklin St,1,Malvern Gardens,3,Far West-2
101000015862,11776507.8749856,3731697.6279668,4004 W Franklin St,1,Malvern Gardens,3,Far West-2
101000022981,11776507.875266,3731697.628192,4004 W Franklin St,1,Malvern Gardens,3,Far West-2
101000108710,11776757.704163,3732043.115034,4004 Wythe Ave,1,Malvern Gardens,3,Far West-2
101000026187,11776757.704163,3732043.115034,4004 Wythe Ave,1,Malvern Gardens,3,Far West-2
