Service Request URL,Service Request,Status,Request Date,Description,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPU000001393&type=new_cs180226204420&viewRole=,DPU000001393,Completed,"August 31, 2018 11:21 pm",All three street lights in ALLEY between Commonwealth Ave. and Shenandoah St. (behind Cutshaw and Augusta) have been out for weeks.,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPU000001392&type=new_cs180226204420&viewRole=,DPU000001392,Completed,"August 31, 2018 8:35 pm",Alley light behind this address constantly cycles on and off. Please replace light sensor.,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000006705&type=new_cs180221194423&viewRole=,DPW000006705,Assigned,"August 31, 2018 6:36 pm",Do Not Enter sign is covered in stickers and graffiti,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000006704&type=new_cs180221194423&viewRole=,DPW000006704,Assigned,"August 31, 2018 6:30 pm",Sign is covered in graffiti,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000006701&type=new_cs180221194457&viewRole=,DPW000006701,Assigned,"August 31, 2018 4:38 pm",Traffic at the 1st Street Bridge is obstructed because of vegetation being so badly overgrown. It is located on the 1300 block of 1st St.,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000006695&type=new_cs180301154109&viewRole=,DPW000006695,Completed,"August 31, 2018 3:34 pm",Citizen states that two large cones are obstructing her sidewalk and COR needs to come and retrieve them. Citizen states that she has called about this several times.,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPU000001391&type=new_cs180226204420&viewRole=,DPU000001391,Completed,"August 31, 2018 3:24 pm",Light directly in front of address is out.,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPU000001390&type=new_cs180226204420&viewRole=,DPU000001390,Completed,"August 31, 2018 2:46 pm",wants a shade to be put on it,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPU000001389&type=new_cs180226204420&viewRole=,DPU000001389,Completed,"August 31, 2018 2:44 pm",would like a shade to be over street light,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPU000001388&type=new_cs180226204420&viewRole=,DPU000001388,Completed,"August 31, 2018 2:43 pm",would like a shade to be put over it,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000006690&type=new_cs180221194656&viewRole=,DPW000006690,Assigned,"August 31, 2018 2:27 pm","a very larger limb is located on a strip of land across the alley over their garage and definitely needs to be cut down , a tree that is between alley and their neighbors property line and would like that tree assess( 824 W 29th Street)(Mary landrum) (8043806327)",,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000006689&type=new_cs180221192758&viewRole=,DPW000006689,Completed,"August 31, 2018 2:10 pm",would like to have her bulk trash picked up because it is now blocking the alley way,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000006687&type=new_cs180221194656&viewRole=,DPW000006687,Assigned,"August 31, 2018 2:03 pm","Tree in front of 1407 Sauer Ave is losing large limbs, and is leaning over two houses. I would like this tree to be checked for health, and also trimmed back.",,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000006685&type=new_cs180221192758&viewRole=,DPW000006685,Completed,"August 31, 2018 2:01 pm",We recently moved to the city and the house doesn’t have trash cans or recycle bin,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPU000001387&type=new_cs180228212504&viewRole=,DPU000001387,Assigned,"August 31, 2018 1:44 pm",storm drain numbers 000449 & 000525,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPU000001385&type=new_cs180228212904&viewRole=,DPU000001385,Completed,"August 31, 2018 1:43 pm",stormwater drain is backed up and now there is trash in the drain and the water is not flowing and there are alot of bugs and its starting to smell.,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPU000001384&type=new_cs180228155543&viewRole=,DPU000001384,Completed,"August 31, 2018 1:03 pm","Citizen states COR came and dug hole, patched it a couple of times ... the tar that COR used to patch hole with is sitting on top of hole and the red dirt is coming up Citizen states the bus run over the hole and causing hole to become deeper",,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPU000001383&type=new_cs180228160021&viewRole=,DPU000001383,Completed,"August 31, 2018 1:01 pm",We noticed rat burrows in our yards beginning last summer after sewer work was done and found one dead rat in our bushes around the same time. Our neighbors have a burrow between the street and sidewalk and we have one in the middle of our yard. We have been battling these rats for a year and now believe that there may be a hole in the sewer as their access point. We would appreciate if the sewer could be inspected and if you could provide any advice on how to handle the situation. Thank you.,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000006674&type=new_cs180221194656&viewRole=,DPW000006674,Assigned,"August 31, 2018 12:44 pm",tree has fallen on top of vehicle and is blocking the sidewalk needs Immediate assistance,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000006672&type=new_cs180221194656&viewRole=,DPW000006672,Assigned,"August 31, 2018 12:34 pm","Tree branch broke off tree partially and is dangling off the tree , hovering over the sidewalk",,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPU000001381&type=new_cs180226204420&viewRole=,DPU000001381,Completed,"August 31, 2018 12:19 pm",Caller states the cover for the bulb is missing.,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000006670&type=new_cs180301154109&viewRole=,DPW000006670,Completed,"August 31, 2018 12:16 pm",Little John Rd and Chatham near the church needs to be repaved. He states near the parking lot is really bad.,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000006669&type=new_cs180221194656&viewRole=,DPW000006669,Assigned,"August 31, 2018 12:14 pm","Tree ID: 16384, 16307 - need pruning. 16296 he states has died or a tree near it.",,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000006668&type=new_cs180301154109&viewRole=,DPW000006668,Completed,"August 31, 2018 12:13 pm",potholes up and down spruce street that are about 3 feet wide on spruce street close to the ally. the pot holes are in the middle of the alley,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000006666&type=new_cs180301154109&viewRole=,DPW000006666,Completed,"August 31, 2018 12:05 pm",large pothole by reedy creek,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000006665&type=new_cs180301154109&viewRole=,DPW000006665,Completed,"August 31, 2018 12:02 pm",Caller states there is a large pothole on Chamberlayne Ave near the intersection of Chamberlayne Ave and Laburnum Ave going towards Azalea Mall; please repair,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=RPD000000247&type=new_cs180529151322&viewRole=,RPD000000247,Completed,"August 31, 2018 11:39 am",There is a white sedan with no license plates parked in front of the apartments at 4003 Dunston Ave.,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000006662&type=new_cs180221194656&viewRole=,DPW000006662,Assigned,"August 31, 2018 11:33 am",at the intersection of Hugenout and elm rd the are serve low hanging trees the is blocking the sight when coming off elm unto chippenham,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPU000001380&type=new_cs180226204420&viewRole=,DPU000001380,Completed,"August 31, 2018 11:27 am",Light burns 24 hours a day at 1704 Laburnum. Right next to Christ ascension Episcopal church parking lot entrance,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000006659&type=new_cs180301154109&viewRole=,DPW000006659,Completed,"August 31, 2018 11:22 am","Westover Village Drive, near the intersection of Westover Village Drive and German School Road has about 10-15 pot holes of varying sizes that are getting deep and may start causing some car damage if not corrected soon. The cul de sac at the end of Westover Village drive has a previous repair that is also starting to weather away.",,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000006657&type=new_cs180221194656&viewRole=,DPW000006657,Assigned,"August 31, 2018 11:18 am",Tree needs to be trimmed. It is blocking traffic citizen says,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000006656&type=new_cs180221194423&viewRole=,DPW000006656,Completed,"August 31, 2018 11:03 am","Please move the highway entrance signs so they can be seen. Even when the trees are trimmed, a lot of people miss the entrance because the signs are on the wrong side of the road and too far ahead. We live nearby and watch a lot of people back up in order to take the entrance.",,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000006654&type=new_cs180221194457&viewRole=,DPW000006654,Assigned,"August 31, 2018 10:59 am",Please trim the bushes in front of the highway signs so that drivers know where the entrance ramp for 195 is,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000006652&type=new_cs180221194656&viewRole=,DPW000006652,Assigned,"August 31, 2018 10:28 am",three fell in storm blocking the sidewalk the tree is mostly on clay mid block,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPU000001378&type=new_cs180221191708&viewRole=,DPU000001378,In Progress,"August 31, 2018 10:26 am",when the tree stump was removed the urban forestry knocked over street lamp and would like to have fixed because it is laying across the side walk,,,
