Service Request URL,Service Request,Status,Request Date,Description
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071573&type=new_cs180221194656&viewRole=,101000071573,Assigned,"July 31, 2017 10:43 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071570&type=new_cs180301154109&viewRole=,101000071570,Assigned,"July 31, 2017 10:38 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071568&type=new_cs180221194423&viewRole=,101000071568,Completed,"July 31, 2017 10:38 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=218133-101000071558&type=new_cs180221194251&viewRole=,218133-101000071558,Completed,"July 31, 2017 10:04 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071557&type=new_cs180301154109&viewRole=,101000071557,Completed,"July 31, 2017 10:02 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071540&type=new_cs180221192758&viewRole=,101000071540,Completed,"July 31, 2017 9:34 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=218105-101000071526&type=new_cs180221194423&viewRole=,218105-101000071526,Completed,"July 31, 2017 9:24 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=218039-101000071505&type=new_cs180301154109&viewRole=,218039-101000071505,Completed,"July 31, 2017 9:22 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=218047-101000071507&type=new_cs180301154109&viewRole=,218047-101000071507,Assigned,"July 31, 2017 9:22 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=218040-101000071504&type=new_cs180221194423&viewRole=,218040-101000071504,Completed,"July 31, 2017 9:22 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071488&type=new_cs180221191708&viewRole=,101000071488,Completed,"July 31, 2017 8:45 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071486&type=new_cs180221194423&viewRole=,101000071486,Completed,"July 31, 2017 8:38 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=217990-101000071479&type=new_cs180529151322&viewRole=,217990-101000071479,Assigned,"July 30, 2017 2:18 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=217915-101000071469&type=new_cs180221194656&viewRole=,217915-101000071469,Completed,"July 30, 2017 9:38 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=217906-101000071468&type=new_cs180221194656&viewRole=,217906-101000071468,Assigned,"July 30, 2017 8:41 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=217871-101000071464&type=new_cs180301154109&viewRole=,217871-101000071464,Completed,"July 29, 2017 7:54 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=217853-101000071460&type=new_cs180301154109&viewRole=,217853-101000071460,Completed,"July 29, 2017 5:30 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=217852-101000071459&type=new_cs180301154109&viewRole=,217852-101000071459,Completed,"July 29, 2017 5:28 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=217840-101000071455&type=new_cs180221194251&viewRole=,217840-101000071455,Completed,"July 29, 2017 3:51 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=217833-101000071453&type=new_cs180226204420&viewRole=,217833-101000071453,Completed,"July 29, 2017 2:20 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=217780-101000071435&type=new_cs180301154109&viewRole=,217780-101000071435,Assigned,"July 29, 2017 10:32 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=217746-101000071429&type=new_cs180226204420&viewRole=,217746-101000071429,Completed,"July 29, 2017 7:20 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=217725-101000071426&type=new_cs180221194032&viewRole=,217725-101000071426,Assigned,"July 28, 2017 10:12 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=217705-101000071424&type=new_cs180301154109&viewRole=,217705-101000071424,Completed,"July 28, 2017 7:10 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071421&type=new_cs180221194656&viewRole=,101000071421,Completed,"July 28, 2017 5:29 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071403&type=new_cs180221194656&viewRole=,101000071403,Completed,"July 28, 2017 4:16 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071398&type=new_cs180221194656&viewRole=,101000071398,Assigned,"July 28, 2017 3:59 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071397&type=new_cs180221190906&viewRole=,101000071397,Assigned,"July 28, 2017 3:53 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071396&type=new_cs180301154109&viewRole=,101000071396,Assigned,"July 28, 2017 3:50 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071389&type=new_cs180301154109&viewRole=,101000071389,Completed,"July 28, 2017 3:39 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071384&type=new_cs180301154109&viewRole=,101000071384,Completed,"July 28, 2017 3:34 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071381&type=new_cs180221194032&viewRole=,101000071381,Assigned,"July 28, 2017 3:31 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=217674-101000071380&type=new_cs180221194656&viewRole=,217674-101000071380,Assigned,"July 28, 2017 3:28 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071379&type=new_cs180301154109&viewRole=,101000071379,Assigned,"July 28, 2017 3:25 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071377&type=new_cs180226204420&viewRole=,101000071377,Completed,"July 28, 2017 3:20 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071375&type=new_cs180226204420&viewRole=,101000071375,Completed,"July 28, 2017 3:18 pm",
