Service Request,Status URL,Status,Request Date,Description
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPU000003263&type=new_cs180226204420&viewRole=,DPU000003263,,2018-12-31-11:45-pm,Streetlight in alley behind my house is out.
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPU000003262&type=new_cs180226204420&viewRole=,DPU000003262,,2018-12-31-9:54-pm,Blinker at intersection.
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPU000003261&type=new_cs180226204420&viewRole=,DPU000003261,,2018-12-31-9:52-pm,"Fixture is on Lamont Avenue at alley, behind 1227 Bellevue Ave."
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000015235&type=new_cs180221194032&viewRole=,DPW000015235,Assigned,2018-12-31-9:12-pm,Alley is filled with large potholes. It is very difficult to drive on and each rainstorm is making it worse due to continued erosion.
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000015233&type=new_cs180301154109&viewRole=,DPW000015233,Assigned,2018-12-31-5:56-pm,"Uprooted concrete, many slabs, some places >6 inches high ."
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000015232&type=new_cs180301154109&viewRole=,DPW000015232,Assigned,2018-12-31-5:48-pm,"Dozens of potholes, many larger than 24 inches wide, many clustered in traffic lanes, along entire stretch of Amelia street from Lake Rd [2200 Amelia] to Westover Rd."
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000015231&type=new_cs180221192758&viewRole=,DPW000015231,Assigned,2018-12-31-4:42-pm,"Bulk trash including furniture and construction materials dumped in alley behind 2406 W Cary. Also, recycle bins have been filled with regular trash and construction debris.."
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000015225&type=new_cs180301154109&viewRole=,DPW000015225,Assigned,2018-12-31-1:55-pm,"Severe potholes on Commerce road left turn lanes onto Bells road. Tops of trucks sway 3 feet to either side as they drive over them very slowly, cars must avoid entirely. They have been patched several times in the past year, but the patches only last a week or two before the several holes are wide and deep again. Entire turn lane needs to be repaved to fix this problem area."
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPU000003260&type=new_cs180228212504&viewRole=,DPU000003260,Assigned,2018-12-31-1:17-pm,Ditch running alongside east side of Commonwealth Ave adjacent to 4413 Leonard Parkway is full of debris preventing basin from properly working and flooding adjacent properties.
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000015224&type=new_cs180221192758&viewRole=,DPW000015224,Assigned,2018-12-31-1:10-pm,tree limbs and leaves at curb side in front of 1503 W laburnum are as of December 31 2018.
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000015221&type=new_cs180220201343&viewRole=,DPW000015221,,2018-12-31-12:39-pm,Thru traffic is always speeding thru as much as 50 to 70 MPH. Lots of people walking up and down the street are in danger as there are no sidewalks to walk on and street is narrow. Trash is always being tossed from cars. There needs to be a way to 1) Slow down traffic. 2) Discourage thru traffic 3) Make it safe to walk down a RESIDENTIAL street.
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000015219&type=new_cs180301154109&viewRole=,DPW000015219,Assigned,2018-12-31-12:28-pm,Stormwater is not draining through the ditches as it should all along Swanson RD. Ditches need to be cleaned and re dug.
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPU000003259&type=new_cs180226204420&viewRole=,DPU000003259,,2018-12-31-11:53-am,Not sure why this was closed. The pole is still leaning dangerously. 'This is a notification email to inform you that your Repair Streetlight request (Request ID: DPU000000094) has been closed.'.
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=RPD000000469&type=new_cs180529151322&viewRole=,RPD000000469,Assigned,2018-12-31-11:22-am,Abandoned catamaran sailboat on trailer which has not moved in over 1 year. Boat is green and rotting on trailer. It is unsightly and obstructs traffic flow on an already narrow road.
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000015216&type=new_cs180301154109&viewRole=,DPW000015216,Assigned,2018-12-31-11:16-am,"Depression sinkhole in front of manhole cover which causes the cover to stick up above pavement, damaging tires when rolling over.."
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000015215&type=new_cs180301154109&viewRole=,DPW000015215,Assigned,2018-12-31-11:06-am,Multiple potholes on Prince George Street from Evelyn Byrd to Dorchester Road that have damaged my vehicle.
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000015214&type=new_cs180221194032&viewRole=,DPW000015214,Assigned,2018-12-31-10:36-am,There is a sink hole in the alley behind the house we are renting at 4706 Hanover Ave.
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000015211&type=new_cs180301154109&viewRole=,DPW000015211,Assigned,2018-12-31-10:01-am,Irregular uprooting of several concrete sections by 3 or more inches creating trip hazards.
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000015209&type=new_cs180301154109&viewRole=,DPW000015209,Assigned,2018-12-31-9:51-am,2.5 x 2.o x 0.5 foot pothole in east lane of 700 block of Westover Road Byrd Park.
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000015203&type=new_cs180221192758&viewRole=,DPW000015203,Assigned,2018-12-31-8:53-am,"The alley of the 300 block between Roseneath road and Tilden street did not get its refuse picked up on Monday, dec. 24, 2018. Our super cans were overflowing with pre holiday trash at that time and now our alley looks like a dump with the extra week of refuse. Please send waste management out immediately to pick up trash/recycling and al of the overflow that has spilled into the alley way."
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000015202&type=new_cs180221192758&viewRole=,DPW000015202,Assigned,2018-12-31-8:33-am,My trash have never been pick up and it need picking up today.
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPU000003258&type=new_cs180226204420&viewRole=,DPU000003258,,2018-12-31-1:15-am,Light in front of 3306 Forest Hill Ave is out.
