Lat,Lon,CASE_REFERENCE,ADDRESS,City,State,COUNCIL,NEIGHBORHOOD,PRECINCT,NSA
37.5652656744135,-77.5065294834625,101000109663,1 Clarke Road,Richmond,VA,1,Mary Munford,3,Far West-2
37.5591956567439,-77.4940072916987,101000038367,1 Malvern Ave Apt 6,Richmond,VA,1,Mary Munford,3,Far West-2
37.5591956567439,-77.4940072916987,101000109651,1 Malvern Ave Apt 6,Richmond,VA,1,Mary Munford,3,Far West-2
37.5664146596873,-77.5063905269106,101000027156,10 Clarke Road,Richmond,VA,1,Mary Munford,3,Far West-1
37.5600059099317,-77.4947221403889,101000085001,10 Malvern Ave Apt 2,Richmond,VA,1,Mary Munford,3,Far West-2
37.5600059099317,-77.4947221403889,101000014547,10 Malvern Ave Apt 5,Richmond,VA,1,Mary Munford,3,Far West-2
37.5653192888738,-77.5057396116935,101000059265,10 Maxwell Road,Richmond,VA,1,Mary Munford,3,Far West-2
37.565361470371,-77.5054265211156,201818-101000059157,10 Maxwell Road,Richmond,VA,1,Mary Munford,3,Far West-2
37.5630328731561,-77.5014500579483,101000108012,10 Westmoreland St,Richmond,VA,1,Mary Munford,3,Far West-2
37.5634541292051,-77.5026127531176,101000064842,10 Willway Ave,Richmond,VA,1,Mary Munford,3,Far West-2
37.5629828995292,-77.499860506404,280586-101000118220,100-198 Commonwealth Ave,Richmond,VA,1,Mary Munford,3,Far West-2
37.558102235557,-77.4902797617085,273965-101000114114,101-199 Cameron St,Richmond,VA,1,Mary Munford,3,Far West-2
37.5581912734442,-77.4902475841891,282636-101000120198,101-199 Cameron St,Richmond,VA,1,Mary Munford,3,Far West-2
37.558483773949,-77.4902269213608,279208-101000117201,101-199 Cameron St,Richmond,VA,1,Mary Munford,3,Far West-2
37.5639943282891,-77.5006426809322,194414-101000052949,108 Westmoreland St,Richmond,VA,1,Mary Munford,3,Far West-2
37.5641819000931,-77.5003699592922,204428-101000061056,108 Westmoreland St,Richmond,VA,1,Mary Munford,3,Far West-2
37.5635346703954,-77.5010904278478,101000114702,106 Westmoreland St,Richmond,VA,1,Mary Munford,3,Far West-2
37.5595510174798,-77.4937221462379,101000049385,11 Malvern Ave Apt 5,Richmond,VA,1,Mary Munford,3,Far West-2
37.5651588451236,-77.5053253132991,260927-101000106827,11 Maxwell Road,Richmond,VA,1,Mary Munford,3,Far West-2
37.5652636558035,-77.505016948915,101000116673,11 Maxwell Road,Richmond,VA,1,Mary Munford,3,Far West-2
37.5633058892051,-77.5020624729834,101000068145,11 Willway Ave,Richmond,VA,1,Mary Munford,3,Far West-2
37.5633058892051,-77.5020624729834,101000098817,11 Willway Ave,Richmond,VA,1,Mary Munford,3,Far West-2
37.5641488510769,-77.5006606376265,101000103236,116 Westmoreland St,Richmond,VA,1,Mary Munford,3,Far West-2
37.5598944803376,-77.4944633209074,101000008939,12 Malvern Ave Apt 1,Richmond,VA,1,Mary Munford,3,Far West-2
37.5598944803376,-77.4944633209074,101000011403,12 Malvern Ave Apt 1,Richmond,VA,1,Mary Munford,3,Far West-2
37.5643089722826,-77.5004264754634,270464-101000111880,120 Westmoreland St,Richmond,VA,1,Mary Munford,3,Far West-2
37.5643992006973,-77.5005218837882,202686-101000059663,120 Westmoreland St,Richmond,VA,1,Mary Munford,3,Far West-2
37.5643992006973,-77.5005218837882,214470-101000068902,120 Westmoreland St,Richmond,VA,1,Mary Munford,3,Far West-2
37.5643994565905,-77.5004847896052,101000002997,120 Westmoreland St,Richmond,VA,1,Mary Munford,3,Far West-2
37.5643994565905,-77.5004847896052,101000059735,120 Westmoreland St,Richmond,VA,1,Mary Munford,3,Far West-2
37.5643994565905,-77.5004847896052,101000073517,120 Westmoreland St,Richmond,VA,1,Mary Munford,3,Far West-2
37.5643994565905,-77.5004847896052,247420-101000097974,120 Westmoreland St,Richmond,VA,1,Mary Munford,3,Far West-2
37.5645217300244,-77.5003854849222,101000109323,122 Westmoreland St,Richmond,VA,1,Mary Munford,3,Far West-2
37.5595993239062,-77.4938205859056,101000069501,13 Malvern Ave,Richmond,VA,1,Mary Munford,3,Far West-2
37.565466482967,-77.5048858756534,101000109351,13 Maxwell Road,Richmond,VA,1,Mary Munford,3,Far West-2
37.5650673705846,-77.5000083849577,101000030518,130 Westmoreland St,Richmond,VA,1,Mary Munford,3,Far West-2
37.5650673705846,-77.5000083849577,101000030519,130 Westmoreland St,Richmond,VA,1,Mary Munford,3,Far West-2
37.5652349999758,-77.4996091921544,195376-101000053701,138 Westmoreland,Richmond,VA,1,Mary Munford,3,Far West-2
37.5600807195303,-77.4943618797918,101000009521,14 Malvern Ave Apt 3,Richmond,VA,1,Mary Munford,3,Far West-2
37.5600807195303,-77.4943618797918,101000015110,14 Malvern Ave Apt 4,Richmond,VA,1,Mary Munford,3,Far West-2
37.5636746339844,-77.5024504238911,101000023788,14 Willway Ave,Richmond,VA,1,Mary Munford,3,Far West-2
37.5654921206519,-77.5053368768728,201820-101000059160,14-16 Maxwell Road,Richmond,VA,1,Mary Munford,3,Far West-2
37.559739180212,-77.4938474526423,101000069502,15 Malvern Ave,Richmond,VA,1,Mary Munford,3,Far West-2
37.559739180212,-77.4938474526423,101000036836,15 Malvern Ave Apt 1,Richmond,VA,1,Mary Munford,3,Far West-2
37.5668931289794,-77.5060574800651,101000026378,16 Clarke Road,Richmond,VA,1,Mary Munford,3,Far West-1
37.5668931289794,-77.5060574800651,101000032995,16 Clarke Road,Richmond,VA,1,Mary Munford,3,Far West-1
37.5668931289794,-77.5060574800651,101000062921,16 Clarke Road,Richmond,VA,1,Mary Munford,3,Far West-1
37.5668931289794,-77.5060574800651,101000073301,16 Clarke Road,Richmond,VA,1,Mary Munford,3,Far West-1
37.5668931289794,-77.5060574800651,101000077827,16 Clarke Road,Richmond,VA,1,Mary Munford,3,Far West-1
37.5668931289794,-77.5060574800651,101000117634,16 Clarke Road,Richmond,VA,1,Mary Munford,3,Far West-1
37.5637670001939,-77.5030510982363,205883-101000062252,16 Willway Ave,Richmond,VA,1,Mary Munford,3,Far West-2
37.5638156128066,-77.5023484943571,101000037080,16 Willway Ave,Richmond,VA,1,Mary Munford,3,Far West-2
37.5638156128066,-77.5023484943571,101000062569,16 Willway Ave,Richmond,VA,1,Mary Munford,3,Far West-2
37.5638156128066,-77.5023484943571,278808-101000116848,16 Willway Ave,Richmond,VA,1,Mary Munford,3,Far West-2
37.5642690042712,-77.505783353343,197580-101000055500,1-7 Maxwell Road,Richmond,VA,1,Mary Munford,3,Far West-2
37.5670803542011,-77.5059283729036,101000076127,18 Clarke Road,Richmond,VA,1,Mary Munford,3,Far West-1
37.5670803542011,-77.5059283729036,101000076130,18 Clarke Road,Richmond,VA,1,Mary Munford,3,Far West-1
37.5670803542011,-77.5059283729036,101000118574,18 Clarke Road,Richmond,VA,1,Mary Munford,3,Far West-1
37.5603598811249,-77.4946596847177,101000026286,18 Malvern Ave,Richmond,VA,1,Mary Munford,3,Far West-2
37.5660438668911,-77.5051157534773,101000085813,18 Maxwell Road,Richmond,VA,1,Mary Munford,3,Far West-2
37.5638541008056,-77.5023818996242,218343-101000071780,18 Willway Ave,Richmond,VA,1,Mary Munford,3,Far West-2
37.5640201510367,-77.5022768421056,101000040741,18 Willway Ave,Richmond,VA,1,Mary Munford,3,Far West-2
37.559639802927,-77.4933540058778,101000120026,19 Malvern Ave Apt 2,Richmond,VA,1,Mary Munford,3,Far West-2
37.5659612340722,-77.5028775193729,101000021448,19 W Locke Lane Unit 4,Richmond,VA,1,Mary Munford,3,Far West-2
37.5571124888351,-77.4906131137762,261656-101000107316,1-99 Cameron St,Richmond,VA,1,Mary Munford,3,Far West-2
37.5573200270129,-77.490535220119,252250-101000101895,1-99 Cameron St,Richmond,VA,1,Mary Munford,3,Far West-2
37.5574499002932,-77.4904568858385,241862-101000093267,1-99 Cameron St,Richmond,VA,1,Mary Munford,3,Far West-2
37.5578888960179,-77.4904011014517,268214-101000110939,1-99 Cameron St,Richmond,VA,1,Mary Munford,3,Far West-2
37.5578905806721,-77.4903983188115,268206-101000110941,1-99 Cameron St,Richmond,VA,1,Mary Munford,3,Far West-2
37.5583523548188,-77.4917581549936,268207-101000110938,1-99 S Hamilton St,Richmond,VA,1,Mary Munford,3,Far West-2
37.5655341147921,-77.5069200684459,101000017157,2 Clarke Road,Richmond,VA,1,Mary Munford,3,Far West-1
37.5589551206237,-77.4947836004982,206863-101000063053,2 Malvern Ave,Richmond,VA,1,Mary Munford,3,Far West-2
37.55953171015,-77.4947458376907,101000062857,2 Malvern Ave,Richmond,VA,1,Mary Munford,3,Far West-2
37.55953171015,-77.4947458376907,101000066623,2 Malvern Ave,Richmond,VA,1,Mary Munford,3,Far West-2
37.5672424217485,-77.5058075339549,101000032997,20 Clarke Road,Richmond,VA,1,Mary Munford,3,Far West-1
37.5672424217485,-77.5058075339549,101000106702,20 Clarke Road,Richmond,VA,1,Mary Munford,3,Far West-1
37.5672424217485,-77.5058075339549,101000112660,20 Clarke Road,Richmond,VA,1,Mary Munford,3,Far West-1
37.5605393094243,-77.4945294569986,101000012236,20 Malvern Ave Apt 2,Richmond,VA,1,Mary Munford,3,Far West-2
37.5605393121705,-77.4945294569619,101000012238,20 Malvern Ave Apt 2,Richmond,VA,1,Mary Munford,3,Far West-2
